Title,Earnings,Opening Weekend,Opening Date,Close Date
The Empire Strikes Back,"209,398,025","4,910,483",5/21/1980,NA
9 to 5,"103,290,500","3,966,832",12/19/1980,NA
Stir Crazy,"101,300,000","8,691,886",12/12/1980,NA
Airplane!,"83,453,539",N/A,6/27/1980,NA
Any Which Way You Can,"70,687,344","8,024,663",12/17/1980,NA
Private Benjamin,"69,847,348","4,739,769",10/10/1980,NA
Coal Miner's Daughter,"67,182,787","3,366,443",3/7/1980,NA
Smokey and the Bandit II,"66,132,626","10,883,835",8/15/1980,NA
The Blue Lagoon,"58,853,106",N/A,6/20/1980,NA
The Blues Brothers,"57,229,890","4,858,152",6/20/1980,NA
Ordinary People,"54,766,923","170,335",9/19/1980,NA
Popeye,"49,823,037","6,310,520",12/12/1980,NA
Urban Cowboy,"46,918,287",N/A,6/6/1980,NA
The Shining,"44,017,374","622,337",5/23/1980,NA
Seems Like Old Times,"43,995,918",N/A,12/19/1980,NA
Cheech & Chong's Next Movie,"41,675,194","5,262,963",7/18/1980,NA
Caddyshack,"39,846,344","3,142,689",7/25/1980,NA
Friday the 13th (1980),"39,754,601","5,816,321",5/9/1980,NA
Brubaker,"37,121,708","2,748,079",6/20/1980,NA
Little Darlings,"34,326,249",N/A,3/21/1980,NA
Dressed to Kill,"31,899,000",N/A,6/23/1980,NA
The Jazz Singer,"27,118,000",N/A,12/19/1980,NA
Flash Gordon,"27,107,960","3,934,030",12/5/1980,NA
Lady and the Tramp (Re-issue) (1980),"26,114,207",N/A,3/7/1980,NA
The Elephant Man,"26,010,864",N/A,10/3/1980,NA
Bronco Billy,"24,265,659","3,708,710",6/11/1980,NA
Raging Bull,"23,334,953","128,590",11/14/1980,NA
Xanadu,"22,762,571","1,471,595",8/8/1980,NA
American Gigolo,"22,743,674","3,559,930",2/1/1980,NA
My Bodyguard,"22,482,952","178,641",7/11/1980,NA
The Fog,"21,378,361",N/A,2/1/1980,NA
Fame (1980),"21,202,829","118,160",5/16/1980,NA
Tess,"20,093,330",N/A,12/12/1980,NA
Altered States,"19,853,892","174,650",12/25/1980,NA
Song of the South (Re-issue) (1980),"19,800,000",N/A,10/8/1980,NA
Cruising,"19,784,223",N/A,2/15/1980,NA
The Octagon,"18,971,000",N/A,8/14/1980,NA
The Aristocats (Re-issue) (1980),"18,000,000",N/A,12/19/1980,NA
Honeysuckle Rose,"17,815,212","2,189,966",7/18/1980,NA
Herbie Goes Bananas,"17,000,000",N/A,6/25/1980,NA
Rough Cut,"16,656,125",N/A,6/20/1980,NA
The Final Countdown,"16,647,800",N/A,8/1/1980,NA
The Hunter,"16,274,150",N/A,8/1/1980,NA
Hero at Large,"15,934,737","1,850,725",2/8/1980,NA
The Long Riders,"15,795,189","2,351,112",5/16/1980,NA
The Island (1980),"15,716,828","3,123,267",6/13/1980,NA
Close Encounters of the Third Kind (Special Edition),"15,693,175",N/A,11/14/1980,NA
