Title,Total Earnings,Foriegn Earnings,Year,IMDB
Indiana Jones and the Last Crusade,"$474,200,000 ","$197,200,000 ",1989,8.2
Batman,"$411,300,000 ","$251,200,000 ",1989,7.5
Back to the Future Part II,"$332,000,000 ","$118,500,000 ",1989,7.8
Look Who's Talking,"$297,000,000 ","$140,100,000 ",1989,5.9
Dead Poets Society,"$235,900,000 ","$95,900,000 ",1989,8.1
Lethal Weapon 2,"$227,900,000 ","$147,300,000 ",1989,7.2
"Honey, I Shrunk the Kids","$222,700,000 ","$130,700,000 ",1989,6.3
Ghostbusters II,"$215,400,000 ","$112,500,000 ",1989,6.6
The Little Mermaid,"$184,200,000 ","$84,400,000 ",1989,7.6
Born on the Fourth of July,"$161,000,000 ","$70,000,000 ",1989,7.2
The War of the Roses,"$160,200,000 ","$86,900,000 ",1989,6.8
Licence to Kill,"$156,200,000 ","$34,700,000 ",1989,6.6
Driving Miss Daisy,"$145,800,000 ","$106,600,000 ",1989,7.4
Black Rain,"$134,200,000 ","$46,200,000 ",1989,7.9
Parenthood,"$126,300,000 ","$100,000,000 ",1989,7
Sea of Love,"$110,900,000 ","$58,600,000 ",1989,6.8
Steel Magnolias,"$95,900,000 ","$83,800,000 ",1989,7.3
The Abyss,"$89,800,000 ","$54,200,000 ",1989,7.6
Field of Dreams,"$84,400,000 ","$64,400,000 ",1989,7.5
Uncle Buck,"$79,300,000 ","$66,800,000 ",1989,7
K-9,"$78,200,000 ","$43,200,000 ",1989,6
Always,"$74,100,000 ","$43,900,000 ",1989,6.4
The 'Burbs,"$49,100,000 ","$36,600,000 ",1989,6.9
Fletch Lives,"$39,500,000 ","$35,200,000 ",1989,6.1
The Fly II,"$38,900,000 ","$20,000,000 ",1989,5
Do the Right Thing,"$37,300,000 ","$27,500,000 ",1989,7.9
Dad,"$27,500,000 ","$22,100,000 ",1989,6.2
Say Anything,"$21,500,000 ","$20,800,000 ",1989,6.2
Roger and Me,"$7,700,000 ","$6,700,000 ",1989,6.2
Breaking In,"$1,900,000 ","$1,900,000 ",1989,6
"Distant Voices, Still Lives","$688,000 ","$688,000 ",1989,6
Ghost,"$505,700,000 ","$217,600,000 ",1990,7
Home Alone,"$476,700,000 ","$285,800,000 ",1990,7.6
Pretty Woman,"$463,400,000 ","$178,400,000 ",1990,7
Dances with Wolves,"$424,200,000 ","$184,200,000 ",1990,8
Total Recall,"$261,300,000 ","$119,400,000 ",1990,7.5
Back to the Future Part III,"$244,500,000 ","$87,700,000 ",1990,7.4
Die Hard 2: Die Harder,"$240,000,000 ","$117,500,000 ",1990,7.4
Presumed Innocent,"$221,300,000 ","$86,300,000 ",1990,6.9
Teenage Mutant Ninja Turtles,"$202,000,000 ","$135,300,000 ",1990,6.8
Kindergarten Cop,"$202,000,000 ","$91,500,000 ",1990,6.1
The Hunt for Red October,"$200,500,000 ","$122,000,000 ",1990,7.6
Dick Tracy,"$162,700,000 ","$103,700,000 ",1990,6.1
Days of Thunder,"$157,900,000 ","$82,700,000 ",1990,6
Another 48 HRS.,"$153,500,000 ","$80,800,000 ",1990,6
Bird on a Wire,"$138,700,000 ","$71,000,000 ",1990,6
The Godfather Part III,"$136,800,000 ","$66,700,000 ",1990,6
Rocky V,"$119,900,000 ","$40,900,000 ",1990,5.3
Edward Scissorhands,"$86,000,000 ","$56,400,000 ",1990,7.9
Problem Child,"$72,300,000 ","$53,500,000 ",1990,5.4
Marked for Death,"$58,000,000 ","$46,000,000 ",1990,6
Predator 2,"$57,100,000 ","$30,700,000 ",1990,6.3
Darkman,"$48,900,000 ","$33,900,000 ",1990,6.4
Pacific Heights,"$44,900,000 ","$29,400,000 ",1990,6.4
The Exorcist III,"$39,000,000 ","$26,100,000 ",1990,6.3
Child's Play 2,"$35,800,000 ","$28,500,000 ",1990,5.8
Air America,"$33,500,000 ","$31,100,000 ",1990,5.8
Ghost Dad,"$25,400,000 ","$24,700,000 ",1990,4.4
Henry & June,"$23,500,000 ","$11,600,000 ",1990,6.3
The Nasty Girl,"$2,300,000 ","$2,300,000 ",1990,7.3
C'est La Vie,"$805,000 ","$805,000 ",1990,7.3
Terminator 2: Judgment Day,"$519,800,000 ","$204,800,000 ",1991,8.5
Robin Hood: Prince of Thieves,"$390,500,000 ","$165,500,000 ",1991,6.9
Beauty and the Beast,"$351,900,000 ","$145,900,000 ",1991,8
Hook,"$300,900,000 ","$119,700,000 ",1991,6.8
The Silence of the Lambs,"$272,700,000 ","$130,700,000 ",1991,8.6
JFK,"$205,400,000 ","$70,400,000 ",1991,8
The Addams Family,"$191,500,000 ","$113,500,000 ",1991,6.9
Cape Fear,"$182,300,000 ","$79,100,000 ",1991,7.3
Hot Shots!,"$181,100,000 ","$69,500,000 ",1991,6.8
City Slickers,"$179,000,000 ","$124,000,000 ",1991,6.7
Sleeping with the Enemy,"$175,000,000 ","$101,600,000 ",1991,6.2
